치매센터명,치매센터유형,소재지도로명주소,운영기관전화번호
안동시치매안심센터,치매안심센터,경상북도 안동시 보현로12,054-840-5779,경상북도
거창군치매안심센터,치매안심센터,경상남도 거창군 거창읍 거함대로 3079,055-940-7912,경상남도
양양군 치매안심센터,치매안심센터,강원도 양양군 양양읍 양양로 9-5,033-670-2937,강원도
영광군치매안심센터,치매안심센터,전라남도 영광군 영광읍 신남로4길 17,061-350-4691,전라남도
치매안심센터,치매안심센터,전라북도 남원시 요천로 1285,063-620-5530,전라북도
화성시치매안심센터,치매안심센터,경기도 화성시 향남읍 상신초교길 52,031-369-3561,경기도
화천군치매안심센터,치매안심센터,강원도 화천군 화천읍 강변로 111,033-440-2809,강원도
옹진군치매안심센터,치매안심센터,인천광역시 옹진군 백령면 백령로 833번길 26-29,032-899-3670,인천
여수시치매안심센터,치매안심센터,전라남도 여수시 신월로 794,061-659-5440,전라남도
영월군 치매안심센터,치매안심센터,강원도 영월군 영월읍 하송로 46-43,033-370-2556,강원도
부산광역시 동래구 치매안심센터,치매안심센터,부산광역시 동래구 명륜로187번길 56,051-555-4000,부산
서북구치매안심센터,치매안심센터,충청남도 천안시 서북구 서부8길 29,041-574-0994,충청남도
동남구치매안심센터,치매안심센터,충청남도 천안시 동남구 버들로 40,041-521-3340,충청남도
예산군 치매안심센터,치매안심센터,충청남도 예산군 예산읍 군청로 22,041-339-6140,충청남도
양주시 치매안심센터,치매안심센터,경기도 양주시 화합로1426번길 90,031-8082-7147,경기도
치매안심센터,치매안심센터,충청남도 서천군 서천읍 사곡길 20-2,041-950-6741,충청남도
서울특별시 중랑구치매안심센터,치매안심센터,서울특별시 중랑구 동일로 608 화성빌딩 2~3층,02-435-7540,서울
금산군치매안심센터,치매안심센터,충청남도 금산군 금산읍 비범1길 5,041-750-4173,충청남도
충주시치매안심센터,치매안심센터,충청북도 충주시 사직산21길 34,043-850-1780,충청북도
춘천시 치매안심센터,치매안심센터,강원도 춘천시 스무숲길 4-46,033-250-4004,강원도
양평군치매안심센터,치매안심센터,경기도 양평군 양평읍 중앙로111번길 34-21,031-771-5773,경기도
포천시치매안심센터,치매안심센터,경기도 포천시 삼육사로 2186번길 11-15,031-538-4854,경기도
서구치매안심센터,치매안심센터,부산광역시 서구 구덕로 127,051-240-4864,부산
평창군치매안심센터,치매안심센터,강원도 평창군 평창읍 종부로 61,033-330-4900,강원도
부평구치매안심센터,치매안심센터,인천광역시 부평구 부흥로291 보건소4층,032-505-5940,인천
통영시 치매센터,치매안심센터,경상남도 통영시 안개4길 102(무전동),055-650-6092,경상남도
